img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/full_6688258JapanFrontccc.jpg,To Heart 2 Portable,PSP,Adventure,Aquaplus,Aquaplus,,0.04,,0.04,,,2009-07-30,
/games/boxart/full_5574090JapanFrontccc.jpg,B's-LOG Party♪,PSP,Adventure,Idea Factory,Idea Factory,,0.04,,0.04,,,2010-05-20,
/games/boxart/full_4663225AmericaFrontccc.jpg,King Arthur,GC,Adventure,Konami,Krome Studios,6.6,0.04,0.03,,0.01,0.0,2004-11-18,
/games/boxart/full_tennis-no-oji-sama-dokidoki-survival-sanroku-no-mystic_660JapanFront.jpg,Tennis no Oji-Sama: DokiDoki Survival - Sanroku no Mystic,PS2,Adventure,Konami,WinkySoft,,0.04,,0.04,,,2006-12-21,
/games/boxart/full_4387021JapanFrontccc.jpg,Tomoyo After: It's a Wonderful Life CS Edition,PSP,Adventure,Prototype,Key,,0.04,,0.04,,,2009-02-19,
/games/boxart/full_8700668JapanFrontccc.jpg,Dolly Kanon Dokidoki Tokimeki Himitsu no Ongaku Katsudou Start Desu!!,3DS,Adventure,Happinet,Happinet,,0.04,,0.04,,,2014-11-20,2018-08-03
/games/boxart/full_4591917JapanFrontccc.jpg,428: Fuusa Sareta Shibuya de,PSP,Adventure,Spike,ChunSoft,,0.04,,0.04,,,2009-09-17,
/games/boxart/full_1418638AmericaFrontccc.jpg,Grey's Anatomy: The Video Game,DS,Adventure,Ubisoft,Longtail Studios,,0.04,0.03,,0.01,0.0,2009-03-04,
/games/boxart/full_5986906JapanFrontccc.jpg,Thoroughbred Breeder II Plus,PS,Simulation,Hect,Hector,,0.04,,0.04,,0.0,1995-11-17,
/games/boxart/full_9920239PALFrontccc.jpg,Train Simulator 2016,PC,Simulation,Dovetail Games,Dovetail Games,,0.04,,,0.04,0.0,2015-09-17,2018-09-22
/games/boxart/full_4169179AmericaFrontccc.jpg,Darklight Conflict,PS,Simulation,Electronic Arts,Rage Software,,0.04,0.02,,0.01,0.0,1997-06-30,
/games/boxart/full_6131667JapanFrontccc.jpg,Kawaii Pet to Kurasou! Wan Nyan & Mini Mini Animal,3DS,Simulation,Nippon Columbia,Nippon Columbia,,0.04,,0.04,,,2017-04-06,2018-08-06
/games/boxart/full_uk-truck-simulator_851PALFront.jpg,UK Truck Simulator,PC,Simulation,Excalibur Publishing,SCS Software,,0.04,,,0.04,,2010-02-19,
/games/boxart/full_265248JapanFrontccc.jpg,Ebikore Photo Kano Kiss,PSV,Simulation,Kadokawa Games,Dingo Inc.,,0.04,,0.04,,,2015-02-05,2019-04-26
/games/boxart/full_2936585AmericaFrontccc.jpg,Scarface: The World is Yours,PC,Adventure,Sierra Entertainment,Radical Entertainment,,0.04,0.01,,0.02,0.0,2006-10-08,
